epoch,train_mse,val_mse,val_nmse,learning_rate
1,174674.60700517579,220036.12780053655,tensor(0.8578),5.266927906290819e-06
2,159614.66125512696,,,1.0533855812581638e-05
3,144229.26705654297,177065.358693733,tensor(0.6097),1.5800783718872457e-05
4,128714.97564111328,,,2.1067711625163277e-05
5,107408.95913068848,134778.93402651674,tensor(0.3982),2.6334639531454092e-05
6,87422.2599711731,,,3.1601567437744915e-05
7,75886.1421663269,94512.34830669135,tensor(0.2387),3.6868495344035734e-05
8,60967.99425463562,,,4.213542325032655e-05
9,52119.11884137268,68996.23195307807,tensor(0.1562),4.7402351156617366e-05
10,49945.45467556763,,,5.2669279062908185e-05
11,42559.02771341095,53378.20627291076,tensor(0.1144),5.7936206969199004e-05
12,35059.61268313293,,,6.320313487548983e-05
13,32124.50115566864,41414.284815479194,tensor(0.0805),6.847006278178064e-05
14,24616.662838607786,,,7.373699068807147e-05
15,25034.211277005004,34564.993580908886,tensor(0.0657),7.900391859436228e-05
16,24152.237788711547,,,8.42708465006531e-05
17,24007.87927338257,28527.852178430807,tensor(0.0585),8.953777440694392e-05
18,20264.499535095216,,,9.480470231323473e-05
19,17681.533896336365,34079.44265897661,tensor(0.1106),0.00010007163021952556
20,16985.808453701782,,,0.00010533855812581637
21,15575.873777554321,23966.451031409237,tensor(0.0544),0.0001106054860321072
22,15289.928518391418,,,0.00011587241393839801
23,16507.926371728514,38298.346779437226,tensor(0.1211),0.00012113934184468883
24,15124.088353562927,,,0.00012640626975097966
25,12498.383439146422,27437.005706224758,tensor(0.0722),0.00013167319765727047
26,11405.054453260804,,,0.00013694012556356128
27,12573.28082246704,19620.374132229314,tensor(0.0482),0.0001422070534698521
28,11809.019168980407,,,0.00014747398137614294
29,13048.460987969971,20144.313426087632,tensor(0.0471),0.00015274090928243375
30,12251.077365567016,,,0.00015800783718872456
31,13321.789768321229,23309.794130995935,tensor(0.0603),0.00016327476509501537
32,11340.605451715088,,,0.0001685416930013062
33,9930.239562173461,32166.49894553341,tensor(0.0857),0.00017380862090759703
34,12417.692343443297,,,0.00017907554881388784
