epoch,train_mse,val_mse,val_nmse,learning_rate
1,134698.48215039063,148946.3364495535,tensor(0.8623),6.944203326273393e-06
2,116706.98857275391,,,1.3888406652546787e-05
3,105775.75731738281,118466.68794588934,tensor(0.5921),2.083260997882018e-05
4,90947.73070800782,,,2.7776813305093573e-05
5,78695.01311096191,85690.84280336472,tensor(0.3609),3.472101663136697e-05
6,61227.235882972716,,,4.166521995764036e-05
7,53396.86144366455,62063.371655165975,tensor(0.2214),4.8609423283913754e-05
8,47432.031343006136,,,5.555362661018715e-05
9,39029.91366758347,46032.825659888345,tensor(0.1511),6.249782993646053e-05
10,35106.63300648498,,,6.944203326273393e-05
11,31451.568733091353,33330.92052101385,tensor(0.0966),7.638623658900732e-05
12,25769.35621602249,,,8.333043991528072e-05
13,22118.83858788681,26948.424852172357,tensor(0.0848),9.027464324155411e-05
14,19720.312884815216,,,9.721884656782751e-05
15,16822.127008090974,25359.51484338127,tensor(0.0836),0.0001041630498941009
16,14367.21872517395,,,0.0001111072532203743
17,15678.87783109665,21132.0293117545,tensor(0.0871),0.00011805145654664768
18,15063.952242296218,,,0.00012499565987292107
19,13877.549474861145,18579.787555991996,tensor(0.0839),0.0001319398631991945
20,13155.169610221863,,,0.00013888406652546787
21,12762.790896438599,23400.372021314724,tensor(0.1096),0.00014582826985174127
22,12333.861900047303,,,0.00015277247317801464
23,10630.000049346923,13929.36139965581,tensor(0.0460),0.00015971667650428807
24,11346.535796777725,,,0.00016666087983056144
25,10754.128889558791,17731.19114451253,tensor(0.0927),0.00017360508315683484
26,9528.202881649016,,,0.00018054928648310821
27,10348.532482494355,10933.520888244893,tensor(0.0388),0.00018749348980938164
28,10161.30179630661,,,0.00019443769313565501
29,10009.71522492218,14051.024301061881,tensor(0.0631),0.00020138189646192841
30,10633.93154742241,,,0.0002083260997882018
31,9885.020438779831,11672.11868480771,tensor(0.0487),0.00021527030311447521
32,8469.209431095123,,,0.0002222145064407486
33,8558.715840175628,9972.614872239485,tensor(0.0445),0.000229158709767022
34,8629.832143409729,,,0.00023610291309329536
35,7952.338518293381,13071.808941153375,tensor(0.0519),0.0002430471164195688
36,7412.6356389446255,,,0.00024999131974584213
37,9005.382584640503,6783.986450339557,tensor(0.0245),0.00025693552307211553
38,8122.225330818176,,,0.000263879726398389
39,8443.037752162933,9742.579867069755,tensor(0.0450),0.00027082392972466233
40,38424.699090494156,,,0.00027776813305093573
41,14692.09080317688,24908.943850194646,tensor(0.1147),0.00028471233637720913
42,12784.748879817962,,,0.00029165653970348254
43,11261.986865081788,21972.56298955482,tensor(0.1122),0.00029860074302975594
44,12901.806130491257,,,0.0003055449463560293
45,9877.661465240479,27578.765009345676,tensor(0.1441),0.0003124891496823027
46,9657.00124543953,,,0.00031943335300857614
47,10261.065629402161,22652.97362387407,tensor(0.0909),0.0003263775563348495
48,9732.272858579636,,,0.0003333217596611229
49,9024.913567214966,25170.01740682167,tensor(0.1240),0.0003402659629873963
50,10554.924146886826,,,0.0003472101663136697
