epoch,train_mse,val_mse,val_nmse,learning_rate
1,136486.70827722168,161876.46959951872,tensor(0.9791),6.944203326273393e-06
2,136714.49251367187,,,1.3888406652546787e-05
3,129463.11647875977,153041.071696185,tensor(0.8746),2.083260997882018e-05
4,120425.80401708985,,,2.7776813305093573e-05
5,109203.93685498046,138877.53037504328,tensor(0.7140),3.472101663136697e-05
6,103608.65249357605,,,4.166521995764036e-05
7,99616.33826773071,135495.50340260804,tensor(0.6814),4.8609423283913754e-05
8,89484.92505645752,,,5.555362661018715e-05
9,84675.58307203674,117081.12398826235,tensor(0.5385),6.249782993646053e-05
10,77834.14751461791,,,6.944203326273393e-05
11,72593.92984486389,98763.36320885246,tensor(0.4238),7.638623658900732e-05
12,65657.68923446655,,,8.333043991528072e-05
13,59533.26279727173,83516.87102139802,tensor(0.3473),9.027464324155411e-05
14,56579.86316833496,,,9.721884656782751e-05
15,50765.54851295471,71684.91032364321,tensor(0.2946),0.0001041630498941009
16,55456.06522663879,,,0.0001111072532203743
17,54063.957573913576,68884.85712614098,tensor(0.2858),0.00011805145654664768
18,52884.37828607178,,,0.00012499565987292107
19,41368.49958128357,60687.33018866842,tensor(0.2531),0.0001319398631991945
20,41549.953513137814,,,0.00013888406652546787
21,44131.7700703125,63890.97239630361,tensor(0.2971),0.00014582826985174127
22,37887.44950813294,,,0.00015277247317801464
23,34643.87356744385,49490.60883378119,tensor(0.2256),0.00015971667650428807
24,34253.89275653076,,,0.00016666087983056144
25,30819.179021743774,43855.987363439905,tensor(0.1967),0.00017360508315683484
26,35503.164182937624,,,0.00018054928648310821
27,30993.443997207643,55336.21328300775,tensor(0.2551),0.00018749348980938164
28,30432.050267440794,,,0.00019443769313565501
29,33277.5504161911,43112.539444853675,tensor(0.2023),0.00020138189646192841
30,29977.80703578186,,,0.0002083260997882018
31,39003.65087069702,39232.14992369468,tensor(0.1826),0.00021527030311447521
32,35775.93261888123,,,0.0002222145064407486
33,31452.224956062317,35830.344529671755,tensor(0.1823),0.000229158709767022
34,36915.64412995911,,,0.00023610291309329536
35,37844.376913879394,47386.4505530955,tensor(0.2330),0.0002430471164195688
36,34813.54958140564,,,0.00024999131974584213
37,37851.093976608274,52404.161256707004,tensor(0.2446),0.00025693552307211553
38,34751.486740951535,,,0.000263879726398389
