epoch,train_mse,val_mse,val_nmse,learning_rate
1,136433.40383081054,161868.3546549458,tensor(0.9791),6.944203326273393e-06
2,134798.10568151856,,,1.3888406652546787e-05
3,125682.1074897461,153725.8556028892,tensor(0.8880),2.083260997882018e-05
4,125788.47615478515,,,2.7776813305093573e-05
5,113849.6699420166,140345.61501733286,tensor(0.7325),3.472101663136697e-05
6,108861.73108532715,,,4.166521995764036e-05
7,96046.03325137329,128000.77661708521,tensor(0.6133),4.8609423283913754e-05
8,92015.81695561219,,,5.555362661018715e-05
9,86560.10220851135,108677.95704364263,tensor(0.4725),6.249782993646053e-05
10,79299.50577812195,,,6.944203326273393e-05
11,72225.57333189392,97908.72641266522,tensor(0.4056),7.638623658900732e-05
12,60411.3883432312,,,8.333043991528072e-05
13,57623.1185809021,72487.25517308031,tensor(0.2721),9.027464324155411e-05
14,56245.944181915285,,,9.721884656782751e-05
15,48160.72384251404,58435.59560784799,tensor(0.2124),0.0001041630498941009
16,41200.410470291135,,,0.0001111072532203743
17,42065.13686462402,42318.95365610126,tensor(0.1517),0.00011805145654664768
18,40280.31000666809,,,0.00012499565987292107
19,30411.902108200073,49817.88177667964,tensor(0.1842),0.0001319398631991945
20,27454.472382598877,,,0.00013888406652546787
21,29514.715925216675,35135.35449461834,tensor(0.1407),0.00014582826985174127
22,25757.601799285887,,,0.00015277247317801464
23,22978.012515327453,24387.59452801022,tensor(0.1042),0.00015971667650428807
24,23271.483044692992,,,0.00016666087983056144
25,20517.79828025818,21843.890499503832,tensor(0.0994),0.00017360508315683484
26,20566.508287757875,,,0.00018054928648310821
27,25778.87127342987,49216.262133574586,tensor(0.2367),0.00018749348980938164
28,22894.094737884523,,,0.00019443769313565501
29,23856.100740859987,22630.344554993728,tensor(0.1128),0.00020138189646192841
30,18048.482515335083,,,0.0002083260997882018
31,20739.78377429962,49631.09844245769,tensor(0.2317),0.00021527030311447521
32,25976.74948623657,,,0.0002222145064407486
33,25822.510663360597,22303.103084707476,tensor(0.1045),0.000229158709767022
34,20226.512441207884,,,0.00023610291309329536
35,25450.75131574249,27474.11091333008,tensor(0.1435),0.0002430471164195688
36,20634.700002952577,,,0.00024999131974584213
37,24565.717739105225,37861.220501119315,tensor(0.1680),0.00025693552307211553
38,25993.248461418152,,,0.000263879726398389
39,23834.30948135376,16082.224800849599,tensor(0.0854),0.00027082392972466233
40,25792.341128349304,,,0.00027776813305093573
41,25732.158819526674,72562.38490188988,tensor(0.3651),0.00028471233637720913
42,28090.491161064147,,,0.00029165653970348254
43,21289.398301734924,21577.066170467908,tensor(0.1092),0.00029860074302975594
44,25774.918380584717,,,0.0003055449463560293
45,24838.98440232086,18445.826000340134,tensor(0.0987),0.0003124891496823027
46,23252.784276756287,,,0.00031943335300857614
47,23897.826119873047,33697.960767764955,tensor(0.1640),0.0003263775563348495
48,25570.86877783966,,,0.0003333217596611229
49,22102.8990442276,58349.078613085214,tensor(0.2923),0.0003402659629873963
50,27380.211565254212,,,0.0003472101663136697
