patch,seed,arm,arm_label,eval,task,per_class,n_samples,macro_f1,accuracy
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,2,10,0.247055,0.247599
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,5,25,0.265684,0.270651
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,10,50,0.103485,0.181857
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,20,100,0.130279,0.198292
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,50,250,0.351723,0.34365
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,100,500,0.37462,0.364141
8,1,mamba,LWM Mamba (pretrained),seen,modulation,2,10,0.212691,0.21857
8,1,mamba,LWM Mamba (pretrained),seen,modulation,5,25,0.229564,0.23031
8,1,mamba,LWM Mamba (pretrained),seen,modulation,10,50,0.265159,0.260192
8,1,mamba,LWM Mamba (pretrained),seen,modulation,20,100,0.319984,0.311206
8,1,mamba,LWM Mamba (pretrained),seen,modulation,50,250,0.307576,0.299466
8,1,mamba,LWM Mamba (pretrained),seen,modulation,100,500,0.329117,0.330416
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,2,10,0.222793,0.229029
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,5,25,0.269198,0.264034
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,10,50,0.283196,0.278975
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,20,100,0.320127,0.315048
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,50,250,0.32885,0.331483
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,100,500,0.364866,0.357311
8,1,random_init_mambarand,Mamba (random init),seen,modulation,2,10,0.180764,0.191249
8,1,random_init_mambarand,Mamba (random init),seen,modulation,5,25,0.186724,0.20064
8,1,random_init_mambarand,Mamba (random init),seen,modulation,10,50,0.189039,0.195091
8,1,random_init_mambarand,Mamba (random init),seen,modulation,20,100,0.199794,0.20555
8,1,random_init_mambarand,Mamba (random init),seen,modulation,50,250,0.201776,0.204909
8,1,random_init_mambarand,Mamba (random init),seen,modulation,100,500,0.20615,0.20619
8,1,random_init_tfrand,Transformer (random init),seen,modulation,2,10,0.187374,0.195945
8,1,random_init_tfrand,Transformer (random init),seen,modulation,5,25,0.189906,0.192102
8,1,random_init_tfrand,Transformer (random init),seen,modulation,10,50,0.188098,0.196158
8,1,random_init_tfrand,Transformer (random init),seen,modulation,20,100,0.190518,0.194023
8,1,random_init_tfrand,Transformer (random init),seen,modulation,50,250,0.192072,0.199787
8,1,random_init_tfrand,Transformer (random init),seen,modulation,100,500,0.229089,0.230736
8,1,raw,raw patches,seen,modulation,2,10,0.197574,0.197652
8,1,raw,raw patches,seen,modulation,5,25,0.196781,0.197225
8,1,raw,raw patches,seen,modulation,10,50,0.211969,0.216649
