patch,seed,arm,arm_label,eval,task,per_class,n_samples,macro_f1,accuracy
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,2,10,0.251498,0.256564
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,5,25,0.266009,0.26873
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,10,50,0.103485,0.181857
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,20,100,0.129868,0.197866
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,50,250,0.349391,0.336606
8,1,deepcnn,DeepCNN (end-to-end),seen,modulation,100,500,0.383997,0.370544
8,1,mamba,LWM Mamba (pretrained),seen,modulation,2,10,0.196572,0.198719
8,1,mamba,LWM Mamba (pretrained),seen,modulation,5,25,0.195907,0.200427
8,1,mamba,LWM Mamba (pretrained),seen,modulation,10,50,0.235748,0.234152
8,1,mamba,LWM Mamba (pretrained),seen,modulation,20,100,0.276281,0.271078
8,1,mamba,LWM Mamba (pretrained),seen,modulation,50,250,0.272712,0.270651
8,1,mamba,LWM Mamba (pretrained),seen,modulation,100,500,0.334705,0.328068
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,2,10,0.222652,0.228815
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,5,25,0.269198,0.264034
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,10,50,0.283196,0.278975
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,20,100,0.320127,0.315048
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,50,250,0.32885,0.331483
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",seen,modulation,100,500,0.364866,0.357311
8,1,random_init_mambarand,Mamba (random init),seen,modulation,2,10,0.186921,0.190822
8,1,random_init_mambarand,Mamba (random init),seen,modulation,5,25,0.196894,0.201281
8,1,random_init_mambarand,Mamba (random init),seen,modulation,10,50,0.197198,0.199573
8,1,random_init_mambarand,Mamba (random init),seen,modulation,20,100,0.219983,0.223693
8,1,random_init_mambarand,Mamba (random init),seen,modulation,50,250,0.201695,0.221345
8,1,random_init_mambarand,Mamba (random init),seen,modulation,100,500,0.220128,0.221772
8,1,random_init_tfrand,Transformer (random init),seen,modulation,2,10,0.190688,0.198506
8,1,random_init_tfrand,Transformer (random init),seen,modulation,5,25,0.203241,0.20555
8,1,random_init_tfrand,Transformer (random init),seen,modulation,10,50,0.205279,0.210886
8,1,random_init_tfrand,Transformer (random init),seen,modulation,20,100,0.206884,0.210245
8,1,random_init_tfrand,Transformer (random init),seen,modulation,50,250,0.219487,0.220491
8,1,random_init_tfrand,Transformer (random init),seen,modulation,100,500,0.23422,0.235859
8,1,raw,raw patches,seen,modulation,2,10,0.197801,0.197866
8,1,raw,raw patches,seen,modulation,5,25,0.197125,0.197439
8,1,raw,raw patches,seen,modulation,10,50,0.211478,0.216222
8,1,raw,raw patches,seen,modulation,20,100,0.216464,0.218143
8,1,raw,raw patches,seen,modulation,50,250,0.232372,0.234792
8,1,raw,raw patches,seen,modulation,100,500,0.250539,0.249306
8,1,resnet18,ResNet-18 (frozen),seen,modulation,2,10,0.20791,0.212166
8,1,resnet18,ResNet-18 (frozen),seen,modulation,5,25,0.229232,0.233298
8,1,resnet18,ResNet-18 (frozen),seen,modulation,10,50,0.2765,0.273212
8,1,resnet18,ResNet-18 (frozen),seen,modulation,20,100,0.31174,0.306083
8,1,resnet18,ResNet-18 (frozen),seen,modulation,50,250,0.331941,0.324653
8,1,resnet18,ResNet-18 (frozen),seen,modulation,100,500,0.331432,0.341515
8,1,transformer_synth,LWM Transformer (pretrained),seen,modulation,2,10,0.194214,0.196798
8,1,transformer_synth,LWM Transformer (pretrained),seen,modulation,5,25,0.19855,0.202134
8,1,transformer_synth,LWM Transformer (pretrained),seen,modulation,10,50,0.226257,0.224546
8,1,transformer_synth,LWM Transformer (pretrained),seen,modulation,20,100,0.261448,0.260192
8,1,transformer_synth,LWM Transformer (pretrained),seen,modulation,50,250,0.299486,0.291142
8,1,transformer_synth,LWM Transformer (pretrained),seen,modulation,100,500,0.315864,0.310993
8,1,deepcnn,DeepCNN (end-to-end),seen,snr_doppler,2,42,0.023799,0.073426
8,1,deepcnn,DeepCNN (end-to-end),seen,snr_doppler,5,105,0.026093,0.055496
8,1,deepcnn,DeepCNN (end-to-end),seen,snr_doppler,10,210,0.115627,0.126788
8,1,deepcnn,DeepCNN (end-to-end),seen,snr_doppler,20,420,0.147097,0.149413
8,1,deepcnn,DeepCNN (end-to-end),seen,snr_doppler,50,1050,0.155397,0.185486
8,1,deepcnn,DeepCNN (end-to-end),seen,snr_doppler,100,2100,0.212315,0.214941
8,1,mamba,LWM Mamba (pretrained),seen,snr_doppler,2,42,0.057073,0.064461
8,1,mamba,LWM Mamba (pretrained),seen,snr_doppler,5,105,0.088902,0.091355
